sample,yield,P-mositure,P-acid,P-sugar,P-starch,D-mositure,D-acid,D-sugar,D-starch,P-lactic_acid,P-ethanol,D-lactic_acid,D-ethanol
R2-212,65.65,46,2.6,0.4,25,46.5,2.1,1,25,3.2,20.8,3.6,7.2
R2-213,73.65,44.6,0.99,0.75,27.41,44.4,1.95,1,29.7,0.2,24,2.8,7.2
R2-214,82.29,45,1.3,0.93,28.26,45.6,1.7,1.44,30.87,1.8,19.4,2.4,7.2
R2-215,81.4,45,2,0.2,30,49,2.8,1.6,24.5,1.6,25.2,2.2,7.2
R2-216,79.98,46.5,1.45,0.88,28.17,47,1.4,0.9,28.8,1.8,19.4,2.5,7.1
R2-217,47.7,45.8,2.42,0.29,30.42,46.6,1.92,1.04,27.72,5,8.4,5.2,7
R2-218,71.64285714,45.8,2.12,0.28,34.56,47.7,2.02,1.72,29.7,4.8,19,5,7
R2-219,67.52,44,2.1,0.2,30,47.9,2.9,1,24.8,2.4,31.2,4.8,7
R2-220,54.25,44.2,1.61,0.82,35.64,44.5,1.51,1.53,26.01,6.4,16,3.9,7
R2-221,47.8,42.2,2.13,0.62,29.34,45.2,1.62,0.82,24.84,5.2,14,3.6,7
R2-222,54.70071429,48.3,2.02,0.69,31.14,48.1,2.12,1.36,28.98,4.8,21.4,3.4,7
R2-223,44,46,2.67,0.88,29.52,46.3,2.22,1.24,29.16,4,6.2,3.1,7
R2-224,54,48.8,3.05,0.41,28.44,45.9,2.54,1.56,30.42,3.6,9.6,6.7,6.9
R2-225,57.07407407,45.2,2.07,0.56,29.88,43.7,1.81,1.64,31.32,5.2,21.2,4.2,6.9
R2-226,58.5,42.7,1.61,0.35,30.6,42.4,1.36,1,28.98,4,16.3,3.7,6.9
R2-227,58.2,44.8,2.13,0.87,30.78,46.9,2.22,1.36,29.7,4.4,13.6,3.6,6.9
R2-228,52.31034483,43.1,2.22,0.82,32.4,41.9,1.92,1.89,30.87,5.4,16,5.6,6.8
R2-229,70.82142857,46.9,2.22,0.35,34.02,46.7,1.71,1.29,29.34,5.2,19.4,5.4,6.8
R2-230,81.36,46,2.2,0.1,31,48.3,3,2.4,25.4,4.4,23.6,5.2,6.8
R2-231,59.32407407,46.4,2.12,0.4,31.5,46.4,2.52,1.3,31.32,5.6,24.2,4.8,6.8
R2-232,61.92,46,2.3,0.4,25,46.3,2.2,1,26,3.6,22.4,3.8,6.8
R2-233,61.03571429,43.3,1.81,0.46,32.4,44.2,1.51,1.24,28.8,3.4,15.6,3.7,6.8
R2-234,75.9,45,2,0.2,33,48,3.1,1.6,25.6,2.8,32.4,3.2,6.8
R2-235,65.31038462,43.7,1.63,1.46,29.41,42.4,1.78,0.9,29.34,1.8,13.8,3,6.8
R2-236,79.87,44.8,1.11,0.67,29.43,43.4,1.2,1.46,28.98,1.4,17.6,2.6,6.8
R2-237,55.22,43.4,1.46,0.27,30.96,43.8,1.54,1.13,26.92,3,17.6,2.4,6.8
R2-238,53.89655172,44.6,2.04,0.73,29.43,42,1.72,1.42,28.89,5.2,15.2,5.9,6.6
R2-239,56.26666667,43.1,1.91,0.88,34.2,44,1.51,1.44,27.18,4.9,14.6,5,6.6
R2-240,65.28571429,45.1,1.87,0.88,29.34,46,1.61,1.25,30.06,5.4,21.4,3.9,6.6
R2-241,49.81259259,45.1,2.53,0.31,30.78,45.7,1.92,1.66,32.4,3.8,13.6,3.6,6.6
R2-242,61.81153846,45.2,1.95,0.54,28.98,46.8,1.7,1.22,31.1,1.4,15,3,6.6
R2-243,73.46,46.2,1.71,0.37,29.32,43.2,1.39,1.21,28.08,2.4,19,0,6.6
R2-244,68.13535714,48.1,2.32,0.76,32.22,46.3,1.71,1.16,28.44,3.2,26.2,4.1,6.5
R2-245,71.56392857,45.9,2.03,0.27,30.78,46.7,2.03,1.63,30.06,4.8,23,4.1,6.5
R2-246,61.07142857,43.4,2.01,0.41,32.58,43.7,1.61,1.27,32.22,4.4,18.5,4,6.5
R2-247,69.28931034,47.2,1.62,0.23,31.5,45,1.81,1.63,30.78,4.4,18.6,3.8,6.5
R2-248,64.47925926,45.7,1.82,0.27,31.86,46.1,1.81,1.69,32.4,3.8,20.8,4.3,6.4
R2-249,50.94,45.9,1.7,0.2,26,45.9,2.8,1.7,26.5,4.4,20,4.2,6.4
R2-250,60.8125,44.2,2.63,0.27,31.5,44.5,1.92,1.69,31.14,3.2,10,4,6.4
R2-251,66.64285714,45.4,1.48,0.37,28.62,44.9,1.58,1.4,29.43,3,17.4,3.9,6.4
R2-252,72.47,46,1.7,0.1,31,48,3.1,1.4,23.9,2.8,31.6,3,6.4
R2-253,84.65,46.4,1.86,0.14,26.64,45.8,1.7,0.84,27.72,2.6,17,2.6,6.4
R2-254,53.81,46.8,1.81,0.41,26.82,45.8,2.12,1.37,28.62,1.2,10.6,1.8,6.4
R2-255,53,47.1,2.56,0.47,28.98,44.4,2.32,1.16,28.26,4.8,20,6.7,6.3
R2-256,54.37517241,46.5,1.92,0.89,31.5,44.3,2.02,1.43,31.68,4.4,19.2,3.9,6.3
R2-257,60.82166667,45.7,2.02,0.38,33.66,44.2,2.02,1.52,32.58,5.2,17,3.8,6.3
R2-258,51.1,44.6,2.32,0.84,28.44,45.7,1.43,0.84,28.26,4.4,14.4,4.6,6.2
R2-259,63.74,44.8,2.4,0.3,29,45.3,2.2,1,26.3,3.6,25.2,3.6,6.2
R2-260,59.6,46.6,2.22,0.48,26.82,48,1.53,0.76,25.02,6.2,15.2,3.4,6.2
R2-261,76.86,45,2,0.1,34,49.1,3.6,1.8,22.3,4.4,36,2.8,6.2
R2-262,57.4,45.1,1.94,1.28,26.64,47.4,1.43,0.9,24.66,2,12,2.4,6.2
R2-263,31.67,43.8,1.81,0.82,31.21,45,1.52,1.53,28.26,3.4,19.2,1.8,6.2
R2-264,52.77071429,46.9,2.03,0.63,33.3,45.8,1.92,1.32,33.12,4.8,13.8,5,6.1
R2-265,75.83321429,46.2,1.52,0.27,32.58,45.3,2.33,1.69,31.32,5.2,18.8,4,6.1
R2-266,48.93,44,2.3,0.1,26,43.8,1.9,1.8,27,4.6,14,3.2,6.1
R2-267,64.68551724,48.4,2.12,0.67,32.94,46.8,1.81,1.56,30.06,5.2,22.8,3,6.1
R2-268,51.3,45.8,1.64,0.5,28.44,45.6,1.43,0.94,24.48,2.4,14.8,4.8,6
R2-269,63.90357143,46.8,2.12,0.48,32.58,46.9,1.81,1.28,29.52,5.2,17.6,5.3,5.9
R2-270,46,44.6,2.37,0.89,29.16,45.9,1.76,0.88,24.84,4.2,9.4,5,5.9
R2-271,48.48428571,45.4,1.92,0.31,31.5,47.5,2.23,1.71,30.78,3.6,16,4.5,5.9
R2-272,59.25,47.8,3.12,0.36,27.54,48,1.61,1.75,26.64,3.4,11.2,2.4,5.8
R2-273,73.88,46.4,1.51,0.57,29.7,42.4,1.72,1.15,29.7,1.6,15.6,2.2,5.8
R2-274,55.4,45.9,2.17,0.39,27.54,45,1.75,1.1,27.9,5.2,12.2,6.5,5.7
R2-275,53.1,45.1,2.71,0.24,29.7,44.8,1.61,1.41,30.78,6,24,3.4,5.7
R2-276,39.8,47.6,2.82,0.29,31.23,45.5,2.42,1.17,27.81,5.2,10.6,5.6,5.6
R2-277,55.86206897,43.1,1.81,0.36,31.77,44.1,1.92,2.12,31.32,5.4,17.6,5.4,5.6
R2-278,52.1,42,2.03,0.22,28.62,41.2,1.73,1.23,28.08,2.8,15.6,5.4,5.6
R2-279,43.5,42.5,2.45,0.42,29.7,43.5,2.23,1.03,30.6,5.6,7.2,5.2,5.6
R2-280,50.96,46.2,2.76,0.3,30.06,43.9,1.86,1.32,28.8,2.8,16.4,2.4,5.6
R2-281,54.45793103,44.4,1.71,0.36,31.86,45.7,1.81,1.97,32.58,4.4,19,6.2,5.5
R2-282,53.06933333,46.9,2.32,0.26,35.64,45.9,1.92,1.02,31.68,5.6,18.8,5.2,5.4
R2-283,53,45.3,2.8,0.2,24,46.1,2.5,0.9,26.5,3.2,13.2,4,5.4
R2-284,81.61,42,2.4,0.2,34,46.3,3.6,1.9,24.5,3.2,30,3.4,5.4
R2-285,48.46,45.2,1.7,0.29,27.36,40.7,2.13,1.81,29.68,4.6,12,3.2,5.4
R2-286,52.4,44.9,2.33,0.92,25.2,43.4,2,1.74,28.62,4,19.2,3,5.4
R2-287,47.5,44.5,2.92,0.66,28.98,43.2,1.74,0.8,25.2,5.2,15.6,2.6,5.4
R2-288,65.75,43.3,1.67,0.72,29.7,46.4,1.41,1.2,30.16,4.8,22.6,4.6,5.3
R2-289,70.16666667,46.6,1.52,0.86,23.58,46.9,2.32,1.26,25.02,5.2,24.4,4.2,5.3
R2-290,46.5,45.6,3.07,0.24,26.64,45.5,1.91,0.9,26.82,4.4,8.6,5.3,5.2
R2-291,48.4,44.3,2.35,0.48,27.36,46.3,2.25,1.08,26.28,2.8,11.2,4,5.2
R2-292,76.17,48.8,1.97,0.24,27,46.7,1.76,1.54,28.26,3.2,7.8,3.8,5.2
R2-293,60.58961538,45.1,2.02,0.41,27.72,46.9,1.82,1.26,24.3,4.2,20,3.6,5.2
R2-294,55.5,44.1,2.21,0.64,24.3,39.6,1.83,1.2,27.1,4,12.4,3.6,5.2
R2-295,72.48,44.6,1.11,0.47,30.42,43.2,1.31,1.1,28.17,0.6,16,2.8,5.2
R2-296,60.9,43.5,1.93,1.1,24.3,44.2,1.62,0.9,26.1,2.8,17.2,2.2,5.2
R2-297,49.08785714,46.2,1.92,0.39,33.48,44.9,1.81,1.79,32.22,5.2,20.4,4.6,5.1
R2-298,61.46428571,45.4,1.43,0.74,27.9,44.6,1.38,1.4,27.72,4,19.2,4.5,5
R2-299,41.8,42.3,2.17,0.61,31.68,43.6,1.91,1,31.68,4.77,8.2,4.4,5
R2-300,45.69,44.6,2.53,0.6,27.23,44.4,2.04,0.86,30.6,2.8,3.8,3.4,5
R2-301,44.3,42.4,2.49,0.47,30.96,43.2,2.12,1.53,30.06,4,6.8,3.2,5
R2-302,38.32,46.6,3.08,0.72,27.54,43.6,2.62,2.76,28.62,2.2,9.4,2.6,5
R2-303,49,47.2,2.82,0.41,27,45.7,2.47,1.32,26.1,7,11.8,5.4,4.9
R2-304,73.16206897,46.4,2.03,0.25,30.6,46.1,1.81,1.55,30.24,4.2,18.8,3.3,4.9
R2-305,54.42105263,42.8,1.82,0.2,30.15,43.5,1.52,1.09,28.53,5.8,18,5.2,4.8
R2-306,75.91,48,1.9,0.23,27.72,45.4,1.81,0.82,25.38,4.4,21.6,4.8,4.8
R2-307,71.21,45,2,0.4,31,47.6,3,1.8,26.1,4,31.2,4,4.8
R2-308,56.40464286,48.2,2.03,0.66,29.16,46.5,1.82,1.32,25.74,4,22.8,3.6,4.8
R2-309,49.8,41.1,2.1,1.26,31.32,39.8,1.7,2.1,21.33,4.4,11.6,3.6,4.8
R2-310,44.06482759,45.9,2.32,0.44,33.66,46.7,1.92,1.93,30.6,5.2,21.8,5.4,4.7
R2-311,59.42689655,45.9,2.02,0.4,34.02,45,2.02,1.53,33.12,4.8,18.6,4.8,4.7
R2-312,63.09090909,43.4,1.87,0.91,28.08,44.2,1.41,1.25,30.6,5.4,16.4,4.1,4.7
R2-313,89.52,46,1.8,0.1,34,45,1.9,2.1,24,2.8,24.4,4.4,4.6
R2-314,32.82,43.8,2.82,0.44,27.9,45.5,1.59,1.73,28.6,2.8,7,4.4,4.6
R2-315,45.8,48.1,3.12,0.91,27.18,44.7,2.39,1.14,28.08,4.8,15.4,6.3,4.5
R2-316,60.12931034,47.2,2.22,0.34,34.92,44.6,2.02,0.93,30.78,5,16.6,5.4,4.5
R2-317,54.33896552,44.5,1.82,0.27,32.58,47.6,2.12,1.39,29.88,4.8,14.2,4.2,4.4
R2-318,51.8,42.2,1.32,1.86,28.44,46.2,1.5,1.78,26.64,4.4,12.8,3.8,4.4
R2-319,72.19,44.6,1.71,0.54,31.05,45.8,1.41,0.97,29.16,1.4,14,1,4.4
R2-320,54.73074074,48,1.96,1.05,28.98,44.5,1.51,1.01,26.1,0,15.6,0.8,4.4
R2-321,55.76923077,44.3,1.86,0.89,28.26,44.3,1.11,1.31,29.7,7.2,21.6,3.1,4.3
R2-322,66.00275862,44.6,1.72,0.33,32.4,43.9,1.62,1.58,32.76,3.6,15.6,4.6,4.2
R2-323,40.2,43.9,2.62,0.72,28.26,44.3,2.13,1.16,27.54,3.4,8.2,4.8,4
R2-324,57,43.5,1.98,0.7,24.84,43.1,1.7,1.13,29.7,4.4,16.4,4.2,4
R2-325,51.29178571,44.5,2.53,0.3,31.68,45.7,1.81,1.38,32.04,4.4,13.2,4,4
R2-326,65.43733333,46.4,2.22,0.36,34.02,45.9,1.81,2.14,31.68,5.2,20.6,5.6,3.8
R2-327,75.52185185,46,1.62,0.15,31.5,43.9,1.52,1.67,31.5,5.8,23,4.5,3.8
R2-328,49.5,39.4,1.88,0.98,31.32,43.4,1.73,2.02,27.72,2.8,19.2,4.2,3.8
R2-329,44.14,44,2.89,0.27,30.71,41.7,1.64,1.09,30.24,4.4,15.2,1.8,3.8
R2-330,57.5,42.6,1.91,0.67,27.18,45.5,1.51,1.81,29.34,5.2,16.8,5.8,3.7
R2-331,50.1,42.7,2.74,0.95,31.5,45.3,1.76,1.21,31.14,5.4,8.2,2.9,3.7
R2-332,59.9,42.4,2.03,1.28,30.6,43,1.42,1.14,25.74,2.4,32,3.6,3.6
R2-333,55.4,42.8,1.73,0.57,30.24,42,1.22,1.56,29.52,3.6,16,2.4,3.6
R2-334,41.8,46,2.1,0.4,25,43,1.8,0.7,27,3.6,13.8,2.1,3.6
R2-335,73.22,45.3,2.33,0.33,29.7,48.5,1.72,1.37,26.75,3,22.6,2.2,3.2
R2-336,46.2,43.4,2.72,0.46,30.6,43.2,2.25,1.17,27.72,5,8.4,5.1,3
R2-337,57.3,42.9,2.13,0.74,25.05,40.8,1.8,1.56,25.56,4.4,13.6,3.8,3
R2-338,52.2,45.7,2.49,0.9,31.68,46.1,1.97,1.22,29.16,5.8,8.4,6.4,2.8
R2-339,49.9,42.1,1.93,0.28,28.98,41.5,1.52,0.84,27.72,3.2,28.4,3.6,2.8
R2-340,56.1,41.9,1.47,0.22,29.16,42.7,2.23,2.22,24.48,2.8,13.6,3.2,2.6
R2-341,59.8,44.5,2.08,0.78,26.82,41.2,1.62,0.86,24.84,4,18.8,3,2.6
R2-342,56.43333333,42.4,1.66,0.67,34.38,42,1.9,1.77,28.53,5.7,18,4.6,2.4
R2-343,67.38235294,43.9,1.97,0.69,29.16,43.9,1.46,1.11,24.12,4.6,16.4,3.2,1.7
R2-344,68.68172414,46,1.72,0.39,30.78,46.8,1.62,1.41,28.08,3.2,22.4,4,1
R2-345,60.26666667,45.7,1.81,0.79,30.06,42.5,1.52,1.55,29.34,5.2,14,4.8,0.8
R2-346,51.03448276,44,1.86,0.45,28.89,41.7,1.87,1.34,30.24,3.6,23.6,4,0.4
